epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.9784,1.33818,4.37774,1.23614,0,0,0,0,1.00928,4.1411,0.97123,5.383e-05,5.383e-05,5.383e-05
2,45.485,1.09252,4.02721,1.06182,0.00219,0.04762,0.03619,0.03071,0.87542,4.08147,0.92342,0.000112495,0.000112495,0.000112495
3,65.5485,0.9949,3.64099,0.96542,0.00715,0.33333,0.13786,0.1042,0.81752,3.9782,0.90013,0.000168115,0.000168115,0.000168115
4,88.166,1.02807,3.35532,0.96763,0.01283,0.65079,0.27014,0.19399,0.89654,3.89237,0.90459,0.00022069,0.00022069,0.00022069
5,107.466,1.01214,3.02534,0.96898,0.01218,0.60635,0.2716,0.17922,0.9142,3.76278,0.90078,0.000270219,0.000270219,0.000270219
6,125.38,1.01593,2.50114,0.96858,0.01566,0.77778,0.50196,0.38952,0.89223,3.64567,0.89423,0.000316703,0.000316703,0.000316703
7,145.164,1.06066,2.00937,0.98064,0.01259,0.68889,0.63701,0.45414,1.00937,3.63665,0.93441,0.000360142,0.000360142,0.000360142
8,164.228,1.00957,1.70209,0.9728,0.01443,0.75926,0.6852,0.5484,0.89162,3.44674,0.91038,0.000400536,0.000400536,0.000400536
9,183.819,1.05498,1.55155,0.95943,0.98044,0.20703,0.74877,0.5906,0.93798,3.20431,0.92838,0.000437884,0.000437884,0.000437884
10,203.178,0.95263,1.25519,0.95219,0.98781,0.30634,0.82877,0.59492,1.06095,3.04888,0.97375,0.000472187,0.000472187,0.000472187
11,223.003,0.93923,1.13326,0.93512,0.92592,0.53707,0.83595,0.60586,0.98954,2.64469,0.93256,0.000503445,0.000503445,0.000503445
12,242.359,0.91544,1.09987,0.93149,0.89807,0.66667,0.84187,0.61474,1.00253,2.28084,0.94524,0.000531658,0.000531658,0.000531658
13,260.759,0.89867,0.98878,0.93305,0.82618,0.78073,0.95811,0.72875,0.94101,1.86193,0.948,0.000540607,0.000540607,0.000540607
14,278.675,0.89605,0.92862,0.93924,0.82344,0.87683,0.995,0.74113,0.91663,1.50795,0.93449,0.000521574,0.000521574,0.000521574
15,298.438,0.83701,0.85149,0.91508,0.8394,0.98247,0.995,0.77999,0.84507,1.29122,0.9266,0.000502541,0.000502541,0.000502541
16,316.959,0.82575,0.82633,0.9221,0.88455,0.98898,0.995,0.8096,0.82918,1.13977,0.93666,0.000483509,0.000483509,0.000483509
17,337.134,0.80256,0.81118,0.91207,0.89282,1,0.995,0.82074,0.80631,0.95136,0.93817,0.000464476,0.000464476,0.000464476
18,356.597,0.78906,0.7879,0.91343,0.91329,0.97978,0.995,0.7947,0.86956,0.98794,0.95601,0.000445443,0.000445443,0.000445443
19,375.664,0.78559,0.75763,0.93596,0.92864,0.99065,0.995,0.81643,0.82571,0.83311,0.94432,0.000426411,0.000426411,0.000426411
20,394.635,0.76223,0.73741,0.89183,0.93259,0.98559,0.995,0.80674,0.82284,0.77577,0.93506,0.000407378,0.000407378,0.000407378
21,413.755,0.74476,0.69606,0.8936,0.94069,0.99597,0.995,0.81859,0.82327,0.72079,0.9399,0.000388345,0.000388345,0.000388345
22,433.553,0.73024,0.67469,0.88888,0.94043,0.99886,0.995,0.80654,0.81608,0.67828,0.94877,0.000369312,0.000369312,0.000369312
23,455.598,0.72133,0.66973,0.88761,0.92986,0.99361,0.995,0.79308,0.87385,0.67461,0.97091,0.00035028,0.00035028,0.00035028
24,472.953,0.71322,0.65131,0.87821,0.90273,0.99659,0.995,0.81744,0.79934,0.65886,0.93516,0.000331247,0.000331247,0.000331247
25,490.501,0.72129,0.64057,0.88469,0.92898,0.99335,0.995,0.7925,0.87518,0.67478,0.9571,0.000312214,0.000312214,0.000312214
26,509.788,0.70231,0.63072,0.8947,0.93484,0.99442,0.995,0.80449,0.8582,0.64979,0.94891,0.000293181,0.000293181,0.000293181
27,529.979,0.68626,0.62786,0.87849,0.94251,0.99087,0.995,0.8025,0.83737,0.64117,0.93838,0.000274148,0.000274148,0.000274148
28,552.239,0.69366,0.62968,0.87441,0.95848,0.99309,0.995,0.8278,0.79314,0.61051,0.92515,0.000255116,0.000255116,0.000255116
29,572.748,0.67672,0.59169,0.87746,0.96963,0.99567,0.995,0.82417,0.79723,0.58975,0.92758,0.000236083,0.000236083,0.000236083
30,593.441,0.65786,0.58251,0.86736,0.97234,1,0.995,0.80891,0.83632,0.58995,0.94134,0.00021705,0.00021705,0.00021705
31,614.675,0.70298,0.81741,0.86815,0.96437,0.99409,0.995,0.823,0.78592,0.57583,0.92465,0.000198018,0.000198018,0.000198018
32,633.005,0.68429,0.71095,0.86522,0.93965,0.99047,0.995,0.80294,0.7933,0.62007,0.9299,0.000178985,0.000178985,0.000178985
33,653.554,0.658,0.63649,0.86181,0.90298,0.98848,0.995,0.80533,0.77793,0.68022,0.92102,0.000159952,0.000159952,0.000159952
34,672,0.61115,0.63439,0.84105,0.90672,0.9897,0.995,0.81834,0.78472,0.67742,0.92056,0.000140919,0.000140919,0.000140919
35,690.668,0.63658,0.62397,0.86028,0.94118,0.99417,0.995,0.82681,0.7887,0.62555,0.92576,0.000121887,0.000121887,0.000121887
36,708.977,0.64142,0.61895,0.84328,0.96322,1,0.995,0.8073,0.78227,0.58786,0.92574,0.000102854,0.000102854,0.000102854
37,726.509,0.6229,0.58178,0.85409,0.96818,1,0.995,0.82129,0.77908,0.56673,0.92578,8.3821e-05,8.3821e-05,8.3821e-05
38,743.894,0.58026,0.57655,0.85717,0.97147,1,0.995,0.82131,0.77209,0.5547,0.92499,6.47882e-05,6.47882e-05,6.47882e-05
39,764.851,0.57062,0.55883,0.82997,0.97417,1,0.995,0.81157,0.76796,0.54717,0.92483,4.57555e-05,4.57555e-05,4.57555e-05
40,783.813,0.60216,0.57243,0.84099,0.97618,1,0.995,0.81021,0.76673,0.54447,0.92515,2.67228e-05,2.67228e-05,2.67228e-05
